MatrixSize	V0	B2	B4	B8	B16	B32	B64	B128
9600	1,122458	0,553428	0,34086	0,201137	0,149886	0,199591	0,199928	0,219569
9728	1,150384	0,676485	0,314774	0,252284	0,191569	0,33104	0,325775	0,360489
9856	1,124514	0,590868	0,309468	0,21077	0,191355	0,142611	0,206236	0,253086
9984	1,171702	0,622387	0,399883	0,218278	0,15332	0,17606	0,343963	0,337757
10112	1,352743	0,717668	0,326506	0,234783	0,149679	0,151586	0,232536	0,284317
10240	1,371615	0,701197	0,38209	0,244546	0,370298	0,356736	0,447665	0,437114
10368	1,343115	0,696656	0,368635	0,245908	0,164733	0,239683	0,240359	0,267884
10496	1,3816	0,691742	0,36862	0,313409	0,165123	0,184686	0,375664	0,371967
10624	1,420137	0,729414	0,389012	0,251801	0,167664	0,169946	0,249552	0,273901
10752	1,384988	0,725348	0,402092	0,267584	0,192178	0,399441	0,39229	0,388535
10880	1,413398	0,794425	0,415839	0,270358	0,180588	0,180562	0,257966	0,288304
11008	1,455874	0,71895	0,394841	0,284153	0,191893	0,196712	0,415696	0,439208
11136	1,583506	0,947578	0,537779	0,284491	0,185183	0,190981	0,273799	0,302456
11264	1,586737	0,932447	0,448819	0,359766	0,481095	0,469247	0,428792	0,557699
11392	1,798141	0,969519	0,493024	0,320077	0,222705	0,22621	0,327024	0,455181
11520	1,707566	0,97225	0,620257	0,378865	0,265199	0,28109	0,507527	0,497619
11648	1,777381	1,138352	0,532807	0,334119	0,207523	0,282798	0,343163	0,371511
11776	1,793764	0,867858	0,474902	0,378833	0,235155	0,482982	0,48315	0,538815
11904	1,824183	1,108083	0,5363	0,339131	0,216778	0,223841	0,339706	0,707278
12032	1,688315	0,951522	0,720622	0,347833	0,220155	0,297394	0,496588	0,484927
12160	1,690048	0,900977	0,537687	0,350221	0,222337	0,2248	0,328054	0,365275
12288	1,913275	0,962085	0,524052	0,350698	0,516606	0,670377	0,649339	0,626418
12416	1,771594	1,226754	0,54691	0,368745	0,235819	0,23568	0,348544	0,382301
12544	1,878322	1,8739	0,533933	0,350311	0,239585	0,277998	0,545645	0,540081
12672	1,858131	1,4577	0,612346	0,384781	0,243676	0,249846	0,38926	0,397316
12800	2,60832	1,64295	0,627723	0,439512	0,278844	0,566182	0,56162	0,58003
12928	2,69179	1,10939	0,672831	0,384644	0,254816	0,258731	0,374458	0,412157
13056	2,201453	1,326708	0,836332	0,459468	0,336029	0,354725	0,634628	0,608963
13184	2,385496	1,56852	0,637915	0,490133	0,26407	0,26469	0,393478	0,440563
13312	2,312005	1,170651	0,665799	0,415548	0,687595	0,635179	0,705127	0,780619
13440	2,156625	1,381022	0,653974	0,481967	0,269144	0,272109	0,422029	0,457876
13568	2,420812	1,135672	0,638351	0,401244	0,277384	0,385439	0,669232	0,613643
13696	2,25073	1,265911	0,668311	0,424738	0,289421	0,297055	0,43458	0,475354
13824	2,570046	1,369041	0,646231	0,419051	0,432545	0,701025	0,681455	0,670294
13952	2,326954	1,23635	0,659446	0,538962	0,334088	0,400754	0,509602	0,4762
14080	2,417047	1,230494	0,663338	0,595715	0,342414	0,358599	0,68111	0,688476
14208	2,413311	1,243474	0,728504	0,470473	0,32857	0,32081	0,463433	0,500683
